soccerway_pk,Nombre,Apellidos,Nombre Jugador,Nacionalidad,Fecha de nacimiento,Edad,País de nacimiento,Posición,Altura,Peso,Pie,Equipo,Temporada,URL,2025_Temporada,2025_Equipo,2025_Liga,2025_Minutos Jugados,2025_Apariciones,2025_Alineaciones,2025_Entra,2025_Sale,2025_Comenzó de suplente,2025_Gol,2025_Amarilla,2025_Segunda Amarilla,2025_Roja,2024_Temporada,2024_Equipo,2024_Liga,2024_Minutos Jugados,2024_Apariciones,2024_Alineaciones,2024_Entra,2024_Sale,2024_Comenzó de suplente,2024_Gol,2024_Amarilla,2024_Segunda Amarilla,2024_Roja,Posicion Secundaria,Link Jugador,Valor de Mercado,Agente,Fichado,Contrato Hasta,ELO,Ritmo,Tiro,Pase,Regate,Defensa,Físico,Salto,Estirada,Paradas,Saques,Colocación,Reflejos
javier_adolfo_altamirano_altamirano_chile_21_agosto_1999,Javier Adolfo,Altamirano Altamirano,Javier Adolfo Altamirano Altamirano,Chile,1999-08-21 00:00:00,25.0,Chile,Centrocampista,173 cm,68 kg,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/javier-adolfo-urzua-altamirano/482167/,2025,Universidad de Chile,Primera División de Chile,72,1,1,0,1,0,1,0,0,0,2024,Estudiantes,Liga Profesional Argentina,645.0,14.0,9.0,5.0,9.0,8.0,1.0,2.0,0.0,0.0,Mediocentro,https://www.transfermarkt.es/javier-altamirano/profil/spieler/567630,"1,70 mill. €",Vibra Futbol,21/01/2025,31/12/2025,63,77,65,67,77,55,68,0,0,0,0,0,0
nicolas_bastian_guerra_ruz_chile_09_enero_1999,Nicolás Bastián,Guerra Ruz,Nicolás Bastián Guerra Ruz,Chile,1999-01-09 00:00:00,26.0,Chile,Delantero,174 cm,70 kg,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/nicolas-guerra/490779/,2025,Universidad de Chile,Primera División de Chile,90,1,1,0,0,0,1,0,0,0,2024,Universidad de Chile,Primera División de Chile,602.0,16.0,6.0,10.0,7.0,16.0,5.0,2.0,0.0,0.0,Extremo izquierdo,https://www.transfermarkt.es/nicolas-guerra/profil/spieler/534037,500 mil €,Vibra Futbol,01/01/2023,31/12/2025,68,67,48,46,66,32,64,0,0,0,0,0,0
lucas_humberto_assadi_reygadas_chile_08_enero_2004,Lucas Humberto,Assadi Reygadas,Lucas Humberto Assadi Reygadas,Chile,2004-01-08 00:00:00,21.0,Chile,Delantero,172 cm,69 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/lucas-assadi/640088/,2025,Universidad de Chile,Primera División de Chile,18,1,0,1,0,1,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,606.0,22.0,3.0,19.0,3.0,23.0,1.0,0.0,0.0,0.0,Extremo izquierdo,https://www.transfermarkt.es/lucas-assadi/profil/spieler/718213,"3,00 mill. €",UNOSPORTS,01/01/2022,31/12/2025,55,0,0,0,0,0,0,0,0,0,0,0,0
gonzalo_montes_calderini_uruguay_22_diciembre_1994,Gonzalo,Montes Calderini,Gonzalo Montes Calderini,Uruguay,1994-12-22 00:00:00,30.0,Uruguay,Centrocampista,174 cm,74 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/gonzalo-montes/245341/,2025,Universidad de Chile,Primera División de Chile,18,1,0,1,0,1,0,0,0,0,2024,Huachipato,Primera División de Chile,2288.0,28.0,26.0,2.0,8.0,2.0,3.0,7.0,0.0,0.0,Mediocentro ofensivo,https://www.transfermarkt.es/gonzalo-montes/profil/spieler/227096,750 mil €,Sport Business,04/01/2025,31/12/2027,69,0,0,0,0,0,0,0,0,0,0,0,0
maximiliano_gabriel_guerrero_pena_chile_15_enero_2000,Maximiliano Gabriel,Guerrero Peña,Maximiliano Gabriel Guerrero Peña,Chile,2000-01-15 00:00:00,25.0,Chile,Delantero,173 cm,64 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/maximiliano-guerrero/497023/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,2328.0,27.0,27.0,0.0,11.0,0.0,6.0,6.0,0.0,0.0,Interior derecho,https://www.transfermarkt.es/maximiliano-guerrero/profil/spieler/540968,"2,00 mill. €",Vibra Futbol,01/01/2024,31/12/2026,67,0,0,0,0,0,0,0,0,0,0,0,0
franco_ezequiel_calderon_argentina_13_mayo_1998,Franco Ezequiel,Calderón,Franco Ezequiel Calderón,Argentina,1998-05-13 00:00:00,26.0,Argentina,Defensa,184 cm,80 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/franco-calderon/598430/,2025,Universidad de Chile,Primera División de Chile,90,1,1,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,2342.0,27.0,27.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,Defensa central,https://www.transfermarkt.es/franco-calderon/profil/spieler/667616,"2,00 mill. €",Baredes Sport & Law,03/01/2024,31/12/2026,74,60,37,45,53,50,74,0,0,0,0,0,0
ignacio_antonio_vasquez_gonzalez_chile_22_mayo_2006,Ignacio Antonio,Vásquez González,Ignacio Antonio Vásquez González,Chile,2006-05-22 00:00:00,18.0,Chile,Centrocampista,171 cm,70 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/ignacio-antonio-vasquez-gonzalez/895249/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,261.0,10.0,1.0,9.0,0.0,9.0,1.0,0.0,0.0,0.0,Mediocentro ofensivo,https://www.transfermarkt.es/ignacio-vasquez/profil/spieler/1119924,800 mil €,Vibra Futbol,01/07/2024,31/12/2025,41,0,0,0,0,0,0,0,0,0,0,0,0
pedro_tomas_garrido_pena_chile_29_octubre_2003,Pedro Tomás,Garrido Peña,Pedro Tomás Garrido Peña,Chile,2003-10-29 00:00:00,21.0,Chile,Portero,188 cm,79 kg,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/pedro-tomas-garrido-pena/692985/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portero,https://www.transfermarkt.es/pedro-garrido/profil/spieler/881115,50 mil €,AIM fútbol,01/01/2023,31/12/2025,30,0,0,0,0,0,0,0,0,0,0,0,0
bianneider_nauj_tamayo_escalona_venezuela_13_enero_2005,Bianneider Nauj,Tamayo Escalona,Bianneider Nauj Tamayo Escalona,Venezuela,2005-01-13 00:00:00,20.0,Venezuela,Defensa,185 cm,91 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/bianneider-tamayo/814922/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Caracas,Primera División de Chile,856.0,10.0,9.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,Lateral izquierdo,https://www.transfermarkt.es/bianneider-tamayo/profil/spieler/980152,300 mil €,MEL Sports ...,23/09/2024,31/12/2027,49,0,0,0,0,0,0,0,0,0,0,0,0
agustin_matias_arce_melli_chile_24_enero_2005,Agustín Matías,Arce Melli,Agustín Matías Arce Melli,Chile,2005-01-24 00:00:00,20.0,Chile,Centrocampista,179 cm,76 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/agustin-arce/850712/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,San Luis,Primera B de Chile,103.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Sin información,Sin información,0,Sin información,Sin información,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0
nicolas_esteban_fernandez_munoz_chile_03_agosto_1999,Nicolás Esteban,Fernández Muñoz,Nicolás Esteban Fernández Muñoz,Chile,1999-08-03 00:00:00,25.0,Chile,Defensa,176 cm,66 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/nicolas-esteban-fernandez-munoz/490418/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Audax Italiano,Primera División de Chile,2291.0,26.0,26.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,Interior derecho,https://www.transfermarkt.es/nicolas-fernandez/profil/spieler/549597,800 mil €,Vibra Futbol,20/01/2025,31/12/2026,63,82,39,55,72,51,70,0,0,0,0,0,0
fabian_marcelo_hormazabal_berrios_chile_26_abril_1996,Fabián Marcelo,Hormazábal Berríos,Fabián Marcelo Hormazábal Berríos,Chile,1996-04-26 00:00:00,28.0,Chile,Delantero,176 cm,67 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/fabian-hormazabal/343791/,2025,Universidad de Chile,Primera División de Chile,90,1,1,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,2416.0,27.0,27.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,Extremo derecho,https://www.transfermarkt.es/fabian-hormazabal/profil/spieler/371988,"1,80 mill. €",Ikons,01/01/2024,31/12/2025,71,0,0,0,0,0,0,0,0,0,0,0,0
rodrigo_nicolas_contreras_argentina_27_octubre_1995,Rodrigo Nicolás,Contreras,Rodrigo Nicolás Contreras,Argentina,1995-10-27 00:00:00,29.0,Argentina,Delantero,182 cm,78 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/rodrigo-contreras/278492/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Everton,Primera División de Chile,2095.0,25.0,24.0,1.0,9.0,1.0,16.0,8.0,0.0,1.0,Delantero centro,https://www.transfermarkt.es/rodrigo-contreras/profil/spieler/266906,"1,50 mill. €",Desconocido,25/01/2025,31/12/2025,69,71,57,50,66,36,71,0,0,0,0,0,0
fabricio_orosman_formiliano_duarte_uruguay_14_enero_1993,Fabricio Orosmán,Formiliano Duarte,Fabricio Orosmán Formiliano Duarte,Uruguay,1993-01-14 00:00:00,32.0,Uruguay,Defensa,186 cm,79 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/fabricio-orosman-formiliano-duarte/203349/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,1,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,421.0,8.0,5.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,Pivote,https://www.transfermarkt.es/fabricio-formiliano/profil/spieler/197231,900 mil €,Oscar Bentancourt,11/08/2024,31/12/2025,68,64,33,46,61,51,71,0,0,0,0,0,0
lucas_gabriel_di_yorio_argentina_22_noviembre_1996,Lucas Gabriel,Di Yorio,Lucas Gabriel Di Yorio,Argentina,1996-11-22 00:00:00,28.0,Argentina,Delantero,190 cm,70 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/lucas-di-yorio/434397/,2025,Athletico Paranaense,Primera División de Argentina,379,6,5,1,3,1,4,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Delantero centro,https://www.transfermarkt.es/lucas-di-yorio/profil/spieler/439108,"2,00 mill. €",Sport Business,04/02/2025,31/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0
nicolas_enrique_ramirez_aguilera_chile_01_mayo_1997,Nicolás Enrique,Ramírez Aguilera,Nicolás Enrique Ramírez Aguilera,Chile,1997-05-01 00:00:00,27.0,Chile,Defensa,Sin información,Sin información,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/nicolas-ramirez/352961/,2025,Universidad de Chile,Primera División de Chile,90,1,1,0,0,0,0,0,0,0,2024,Barcelona,Primera B de Argentina,1650.0,20.0,19.0,1.0,2.0,7.0,0.0,2.0,0.0,0.0,Defensa central,https://www.transfermarkt.es/nicolas-ramirez/profil/spieler/418464,800 mil €,Sin agente,15/01/2025,31/12/2026,68,65,32,40,56,54,62,0,0,0,0,0,0
leandro_miguel_fernandez_argentina_12_marzo_1991,Leandro Miguel,Fernández,Leandro Miguel Fernández,Argentina,1991-03-12 00:00:00,33.0,Argentina,Delantero,178 cm,70 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/leandro-fernandez/58254/,2025,Universidad de Chile,Primera División de Chile,90,1,1,0,0,0,1,0,0,0,2024,Universidad de Chile,Primera División de Chile,2308.0,27.0,27.0,0.0,8.0,0.0,11.0,7.0,0.0,1.0,Delantero centro,https://www.transfermarkt.es/leandro-fernandez/profil/spieler/131840,700 mil €,Score Futbol,01/01/2023,31/12/2026,74,77,72,70,77,43,69,0,0,0,0,0,0
marcelo_alfonso_diaz_rojas_chile_30_diciembre_1986,Marcelo Alfonso,Díaz Rojas,Marcelo Alfonso Díaz Rojas,Chile,1986-12-30 00:00:00,38.0,Chile,Centrocampista,166 cm,67 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/marcelo-alfonso-diaz/21754/,2025,Universidad de Chile,Primera División de Chile,72,1,1,0,1,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,2411.0,29.0,29.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,Mediocentro,https://www.transfermarkt.es/marcelo-diaz/profil/spieler/83895,50 mil €,AIM fútbol,01/01/2024,31/12/2025,68,57,74,78,69,59,67,0,0,0,0,0,0
matias_ignacio_sepulveda_mendez_chile_12_marzo_1999,Matías Ignacio,Sepúlveda Méndez,Matías Ignacio Sepúlveda Méndez,Chile,1999-03-12 00:00:00,25.0,Chile,Centrocampista,185 cm,76 kg,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/matias-sepulveda/460417/,2025,Universidad de Chile,Primera División de Chile,81,1,1,0,1,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,1077.0,24.0,12.0,12.0,10.0,15.0,1.0,2.0,0.0,0.0,Interior izquierdo,https://www.transfermarkt.es/matias-sepulveda/profil/spieler/511436,"1,00 mill. €",Vibra Futbol,19/01/2024,31/12/2026,67,0,0,0,0,0,0,0,0,0,0,0,0
israel_elias_poblete_zuniga_chile_22_junio_1995,Israel Elías,Poblete Zúñiga,Israel Elías Poblete Zúñiga,Chile,1995-06-22 00:00:00,29.0,Chile,Centrocampista,172 cm,72 kg,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/israel-poblete/300673/,2025,Universidad de Chile,Primera División de Chile,18,1,0,1,0,1,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,1878.0,27.0,24.0,3.0,10.0,3.0,3.0,6.0,0.0,1.0,Interior derecho,https://www.transfermarkt.es/israel-poblete/profil/spieler/336346,900 mil €,Vibra Futbol,02/02/2022,31/12/2025,71,72,56,62,71,45,66,0,0,0,0,0,0
sebastian_eduardo_cabrera_morgado_chile_16_marzo_1998,Sebastián Eduardo,Cabrera Morgado,Sebastián Eduardo Cabrera Morgado,Chile,1998-03-16 00:00:00,26.0,Chile,Defensa,175 cm,69 kg,Izquierdo,Coquimbo Unido,2025,https://el.soccerway.com/players/sebastian-cabrera-morgado/325494/,2025,Coquimbo Unido,Primera División de Chile,34,1,0,1,0,1,0,0,0,0,2024,Coquimbo Unido,Primera División de Chile,1884.0,27.0,21.0,6.0,5.0,8.0,2.0,5.0,0.0,0.0,Interior izquierdo,https://www.transfermarkt.es/sebastian-cabrera/profil/spieler/534293,700 mil €,Mundo Futuro Chile,01/01/2023,31/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
elvis_hernandez_huenten_argentina_24_septiembre_1999,Elvis,Hernández Huenten,Elvis Hernández Huenten,Argentina,1999-09-24 00:00:00,25.0,Argentina,Defensa,180 cm,81 kg,Sin información,Coquimbo Unido,2025,https://el.soccerway.com/players/elvis-hernandez/576124/,2025,Coquimbo Unido,Primera División de Chile,11,1,0,1,0,1,0,0,0,0,2024,Coquimbo Unido,Primera División de Chile,931.0,12.0,10.0,2.0,0.0,10.0,1.0,4.0,0.0,0.0,Lateral derecho,https://www.transfermarkt.es/elvis-hernandez/profil/spieler/745320,400 mil €,DES,08/01/2024,31/12/2025,60,0,0,0,0,0,0,0,0,0,0,0,0
lukas_gustavo_soza_rodriguez_chile_19_enero_1998,Lukas Gustavo,Soza Rodríguez,Lukas Gustavo Soza Rodríguez,Chile,1998-01-19 00:00:00,27.0,Chile,Defensa,177 cm,67 kg,Sin información,Coquimbo Unido,2025,https://el.soccerway.com/players/lukas-gustavo-soza-rodriguez/398927/,2025,Coquimbo Unido,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Deportes Antofagasta,Primera B de Chile,1548.0,22.0,20.0,2.0,13.0,3.0,0.0,9.0,0.0,0.0,Lateral izquierdo,https://www.transfermarkt.es/lukas-soza/profil/spieler/711258,200 mil €,Vis10n Futbol,01/01/2025,31/12/2025,54,72,35,50,60,50,57,0,0,0,0,0,0
sebastian_paolo_galani_villega_chile_17_agosto_1997,Sebastián Paolo,Galani Villega,Sebastián Paolo Galani Villega,Chile,1997-08-17 00:00:00,27.0,Chile,Centrocampista,179 cm,75 kg,Derecho,Coquimbo Unido,2025,https://el.soccerway.com/players/sebastian-galani/345445/,2025,Coquimbo Unido,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Coquimbo Unido,Primera División de Chile,1478.0,23.0,18.0,5.0,13.0,8.0,0.0,8.0,0.0,0.0,Mediocentro,https://www.transfermarkt.es/sebastian-galani/profil/spieler/534294,850 mil €,Mundo Futuro Chile,08/06/2022,31/12/2025,62,67,47,59,61,53,63,0,0,0,0,0,0
matias_segundo_edgardo_alvarado_alvarez_chile_25_marzo_2003,Matías Segundo Edgardo,Alvarado Álvarez,Matías Segundo Edgardo Alvarado Álvarez,Chile,2003-03-25 00:00:00,21.0,Chile,Delantero,178 cm,74 kg,Izquierdo,Coquimbo Unido,2025,https://el.soccerway.com/players/matias-alvarado/845899/,2025,Coquimbo Unido,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Coquimbo Unido,Primera División de Chile,302.0,5.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,Delantero centro,https://www.transfermarkt.es/matias-alvarado/profil/spieler/1037241,300 mil €,Desconocido,01/01/2024,31/12/2026,25,0,0,0,0,0,0,0,0,0,0,0,0
martin_andres_mundaca_barraza_chile_08_enero_2007,Martín Andrés,Mundaca Barraza,Martín Andrés Mundaca Barraza,Chile,2007-01-08 00:00:00,18.0,Chile,Delantero,Sin información,Sin información,Sin información,Coquimbo Unido,2025,https://el.soccerway.com/players/martin-andres-mundaca-barraza/960092/,2025,Coquimbo Unido,Primera División de Chile,0,0,0,0,0,1,0,0,0,0,2024,Coquimbo Unido,Primera División de Chile,854.0,17.0,16.0,1.0,15.0,3.0,3.0,3.0,0.0,1.0,Extremo derecho,https://www.transfermarkt.es/martin-mundaca/profil/spieler/1249764,650 mil €,Mundo Futuro Chile,01/01/2024,-,50,0,0,0,0,0,0,0,0,0,0,0,0
salvador_eduardo_cordero_leiva_chile_11_marzo_1996,Salvador Eduardo,Cordero Leiva,Salvador Eduardo Cordero Leiva,Chile,1996-03-11 00:00:00,28.0,Chile,Defensa,178 cm,75 kg,Sin información,Coquimbo Unido,2025,https://el.soccerway.com/players/fernando--cordero/432368/,2025,Coquimbo Unido,Primera División de Chile,30,1,0,1,0,1,0,0,0,0,2024,Deportes Antofagasta,Primera B de Chile,2418.0,29.0,27.0,2.0,4.0,2.0,0.0,8.0,0.0,0.0,Sin información,Sin información,0,Sin información,Sin información,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0
manuel_elias_fernandez_guzman_uruguay_25_enero_1989,Manuel Elías,Fernández Guzmán,Manuel Elías Fernández Guzmán,Uruguay,1989-01-25 00:00:00,36.0,Uruguay,Defensa,180 cm,78 kg,Derecho,Coquimbo Unido,2025,https://el.soccerway.com/players/manuel-elias-fernandez-guzman/201421/,2025,Coquimbo Unido,Primera División de Chile,90,1,1,0,0,0,0,0,0,0,2024,Coquimbo Unido,Primera División de Chile,1880.0,22.0,21.0,1.0,2.0,5.0,0.0,6.0,0.0,1.0,Defensa central,https://www.transfermarkt.es/manuel-fernandez/profil/spieler/195958,50 mil €,Mundo Futuro Chile,15/01/2024,31/12/2025,67,49,31,41,47,50,66,0,0,0,0,0,0
