soccerway_pk,Nombre,Apellidos,Nacionalidad_x,Fecha de nacimiento,Edad_x,País de nacimiento,Posición,Altura,Peso,Pie_x,Equipo_x,Temporada,URL,2025_Temporada,2025_Equipo,2025_Liga,2025_Minutos Jugados,2025_Apariciones,2025_Alineaciones,2025_Entra,2025_Sale,2025_Comenzó de suplente,2025_Gol,2025_Amarilla,2025_Segunda Amarilla,2025_Roja,2024_Temporada,2024_Equipo,2024_Liga,2024_Minutos Jugados,2024_Apariciones,2024_Alineaciones,2024_Entra,2024_Sale,2024_Comenzó de suplente,2024_Gol,2024_Amarilla,2024_Segunda Amarilla,2024_Roja,tmkt_pk,Nombre Jugador,Fecha Nacimiento,Posicion,Posicion Secundaria,Equipo_y,Link Jugador,Valor de Mercado,Nacionalidad_y,Pie_y,Agente,Fichado,Contrato Hasta,besoccer_pk,Nombre completo,Nacionalidad,Edad_y,ELO,birth_date,Salto,Estirada,Paradas,Saques,Colocación,Reflejos,Ritmo,Tiro,Pase,Regate,Defensa,Fisico,Valoracion Scouting
javier_adolfo_altamirano_altamirano_chile_21_agosto_1999,Javier Adolfo,Altamirano Altamirano,Chile,1999-08-21,25.0,Chile,Centrocampista,173 cm,68 kg,,Universidad de Chile,2025,https://el.soccerway.com/players/javier-adolfo-urzua-altamirano/482167/,2025.0,Universidad de Chile,PRD,72,1,1,0,1,0,1,0,0,0,2024,Estudiantes,LPA,645.0,14.0,9.0,5.0,9.0,8.0,1.0,2.0,0.0,0.0,javier_adolfo_altamirano_altamirano_chile_21_agosto_1999,Javier Adolfo Altamirano Altamirano,21/08/1999 (25),Mediocentro ofensivo,Mediocentro,Universidad de Chile,https://www.transfermarkt.es/javier-altamirano/profil/spieler/567630,"1,70 mill. €",Chile,Izquierdo,Vibra Futbol,21/01/2025,31/12/2025,javier_adolfo_altamirano_altamirano_chile_21_agosto_1999,Javier Adolfo Altamirano Altamirano,Chile,25.0,62.0,21 agosto 1999,77,65,67,77,55,68,,,,,,,
nicolas_bastian_guerra_ruz_chile_09_enero_1999,Nicolás Bastián,Guerra Ruz,Chile,1999-01-09,26.0,Chile,Delantero,174 cm,70 kg,,Universidad de Chile,2025,https://el.soccerway.com/players/nicolas-guerra/490779/,2025.0,Universidad de Chile,PRD,90,1,1,0,0,0,1,0,0,0,2024,Universidad de Chile,PRD,602.0,16.0,6.0,10.0,7.0,16.0,5.0,2.0,0.0,0.0,nicolas_bastian_guerra_ruz_chile_09_enero_1999,Nicolás Bastián Guerra Ruz,09/01/1999 (26),Delantero centro,Extremo izquierdo,Universidad de Chile,https://www.transfermarkt.es/nicolas-guerra/profil/spieler/534037,500 mil €,Chile,Derecho,Vibra Futbol,01/01/2023,31/12/2025,nicolas_bastian_guerra_ruz_chile_09_enero_1999,Nicolás Bastián Guerra Ruz,Chile,26.0,68.0,09 enero 1999,67,48,46,66,32,64,,,,,,,
lucas_humberto_assadi_reygadas_chile_08_enero_2004,Lucas Humberto,Assadi Reygadas,Chile,2004-01-08,21.0,Chile,Delantero,172 cm,69 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/lucas-assadi/640088/,2025.0,Universidad de Chile,PRD,18,1,0,1,0,1,0,0,0,0,2024,Universidad de Chile,PRD,606.0,22.0,3.0,19.0,3.0,23.0,1.0,0.0,0.0,0.0,lucas_humberto_assadi_reygadas_chile_08_enero_2004,Lucas Humberto Assadi Reygadas,08/01/2004 (21),Mediocentro ofensivo,Extremo izquierdo,Universidad de Chile,https://www.transfermarkt.es/lucas-assadi/profil/spieler/718213,"3,00 mill. €",Chile,Derecho,UNOSPORTS,01/01/2022,31/12/2025,lucas_humberto_assadi_reygadas_chile_08_enero_2004,Lucas Humberto Assadi Reygadas,Chile,21.0,55.0,08 enero 2004,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,,,,,,,
gonzalo_montes_calderini_uruguay_22_diciembre_1994,Gonzalo,Montes Calderini,Uruguay,1994-12-22,30.0,Uruguay,Centrocampista,174 cm,74 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/gonzalo-montes/245341/,2025.0,Universidad de Chile,PRD,18,1,0,1,0,1,0,0,0,0,2024,Huachipato,PRD,2288.0,28.0,26.0,2.0,8.0,2.0,3.0,7.0,0.0,0.0,gonzalo_montes_calderini_uruguay_22_diciembre_1994,Gonzalo Montes Calderini,22/12/1994 (30),Mediocentro,Mediocentro ofensivo,Universidad de Chile,https://www.transfermarkt.es/gonzalo-montes/profil/spieler/227096,750 mil €,Uruguay,Derecho,Sport Business,04/01/2025,31/12/2027,gonzalo_montes_calderini_uruguay_22_diciembre_1994,Gonzalo Montes Calderini,Uruguay,30.0,69.0,22 diciembre 1994,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,,,,,,,
maximiliano_gabriel_guerrero_pena_chile_15_enero_2000,Maximiliano Gabriel,Guerrero Peña,Chile,2000-01-15,25.0,Chile,Delantero,173 cm,64 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/maximiliano-guerrero/497023/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,2328.0,27.0,27.0,0.0,11.0,0.0,6.0,6.0,0.0,0.0,maximiliano_gabriel_guerrero_pena_chile_15_enero_2000,Maximiliano Gabriel Guerrero Peña,15/01/2000 (25),Extremo derecho,Interior derecho,Universidad de Chile,https://www.transfermarkt.es/maximiliano-guerrero/profil/spieler/540968,"2,00 mill. €",Chile,Derecho,Vibra Futbol,01/01/2024,31/12/2026,maximiliano_gabriel_guerrero_pena_chile_15_enero_2000,Maximiliano Gabriel Guerrero Pena,Chile,25.0,67.0,15 enero 2000,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,,,,,,,
franco_ezequiel_calderon_argentina_13_mayo_1998,Franco Ezequiel,Calderón,Argentina,1998-05-13,26.0,Argentina,Defensa,184 cm,80 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/franco-calderon/598430/,2025.0,Universidad de Chile,PRD,90,1,1,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,2342.0,27.0,27.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,franco_ezequiel_calderon_argentina_13_mayo_1998,Franco Ezequiel Calderón,13/05/1998 (26),Defensa central,Defensa central,Universidad de Chile,https://www.transfermarkt.es/franco-calderon/profil/spieler/667616,"2,00 mill. €",Argentina,Derecho,Baredes Sport & Law,03/01/2024,31/12/2026,franco_ezequiel_calderon_argentina_13_mayo_1998,Franco Ezequiel Calderón,Argentina,26.0,74.0,13 mayo 1998,60,37,45,53,50,74,,,,,,,
ignacio_antonio_vasquez_gonzalez_chile_22_mayo_2006,Ignacio Antonio,Vásquez González,Chile,2006-05-22,18.0,Chile,Centrocampista,171 cm,70 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/ignacio-antonio-vasquez-gonzalez/895249/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,261.0,10.0,1.0,9.0,0.0,9.0,1.0,0.0,0.0,0.0,ignacio_antonio_vasquez_gonzalez_chile_22_mayo_2006,Ignacio Antonio Vásquez González,22/05/2006 (18),Extremo izquierdo,Mediocentro ofensivo,Universidad de Chile,https://www.transfermarkt.es/ignacio-vasquez/profil/spieler/1119924,800 mil €,Chile,Derecho,Vibra Futbol,01/07/2024,31/12/2025,ignacio_antonio_vasquez_gonzalez_chile_22_mayo_2006,Ignacio Antonio Vásquez González,Chile,18.0,41.0,22 mayo 2006,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,,,,,,,
pedro_tomas_garrido_pena_chile_29_octubre_2003,Pedro Tomás,Garrido Peña,Chile,2003-10-29,21.0,Chile,Portero,188 cm,79 kg,,Universidad de Chile,2025,https://el.soccerway.com/players/pedro-tomas-garrido-pena/692985/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pedro_tomas_garrido_pena_chile_29_octubre_2003,Pedro Tomás Garrido Peña,29/10/2003 (21),Portero,Portero,Universidad de Chile,https://www.transfermarkt.es/pedro-garrido/profil/spieler/881115,50 mil €,Chile,Derecho,AIM fútbol,01/01/2023,31/12/2025,pedro_tomas_garrido_pena_chile_29_octubre_2003,Pedro Tomás Garrido Peña,Chile,21.0,30.0,29 octubre 2003,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,,,,,,,
bianneider_nauj_tamayo_escalona_venezuela_13_enero_2005,Bianneider Nauj,Tamayo Escalona,Venezuela,2005-01-13,20.0,Venezuela,Defensa,185 cm,91 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/bianneider-tamayo/814922/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Caracas,PRD,856.0,10.0,9.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,bianneider_nauj_tamayo_escalona_venezuela_13_enero_2005,Bianneider Nauj Tamayo Escalona,13/01/2005 (20),Defensa central,Lateral izquierdo,Universidad de Chile,https://www.transfermarkt.es/bianneider-tamayo/profil/spieler/980152,300 mil €,Venezuela,Izquierdo,MEL Sports ...,23/09/2024,31/12/2027,bianneider_nauj_tamayo_escalona_venezuela_13_enero_2005,Bianneider Nauj Tamayo Escalona,Venezuela,20.0,49.0,13 enero 2005,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,,,,,,,
agustin_matias_arce_melli_chile_24_enero_2005,Agustín Matías,Arce Melli,Chile,2005-01-24,20.0,Chile,Centrocampista,179 cm,76 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/agustin-arce/850712/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,San Luis,PRB,103.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicolas_esteban_fernandez_munoz_chile_03_agosto_1999,Nicolás Esteban,Fernández Muñoz,Chile,1999-08-03,25.0,Chile,Defensa,176 cm,66 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/nicolas-esteban-fernandez-munoz/490418/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Audax Italiano,PRD,2291.0,26.0,26.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,nicolas_esteban_fernandez_munoz_chile_03_agosto_1999,Nicolás Esteban Fernández Muñoz,03/08/1999 (25),Lateral derecho,Interior derecho,Universidad de Chile,https://www.transfermarkt.es/nicolas-fernandez/profil/spieler/549597,800 mil €,Chile,Derecho,Vibra Futbol,20/01/2025,31/12/2026,nicolas_esteban_fernandez_munoz_chile_03_agosto_1999,Nicolás Esteban Fernández Muñoz,Chile,25.0,63.0,03 agosto 1999,82,39,55,72,51,70,,,,,,,
fabian_marcelo_hormazabal_berrios_chile_26_abril_1996,Fabián Marcelo,Hormazábal Berríos,Chile,1996-04-26,28.0,Chile,Delantero,176 cm,67 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/fabian-hormazabal/343791/,2025.0,Universidad de Chile,PRD,90,1,1,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,2416.0,27.0,27.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,fabian_marcelo_hormazabal_berrios_chile_26_abril_1996,Fabián Marcelo Hormazábal Berríos,26/04/1996 (28),Lateral derecho,Extremo derecho,Universidad de Chile,https://www.transfermarkt.es/fabian-hormazabal/profil/spieler/371988,"1,80 mill. €",Chile,Derecho,Ikons,01/01/2024,31/12/2025,fabian_marcelo_hormazabal_berrios_chile_26_abril_1996,Fabián Marcelo Hormazabal Berríos,Chile,28.0,71.0,26 abril 1996,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,,,,,,,
rodrigo_nicolas_contreras_argentina_27_octubre_1995,Rodrigo Nicolás,Contreras,Argentina,1995-10-27,29.0,Argentina,Delantero,182 cm,78 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/rodrigo-contreras/278492/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Everton,PRD,2095.0,25.0,24.0,1.0,9.0,1.0,16.0,8.0,0.0,1.0,rodrigo_nicolas_contreras_argentina_27_octubre_1995,Rodrigo Nicolás Contreras,27/10/1995 (29),Delantero centro,Delantero centro,Universidad de Chile,https://www.transfermarkt.es/rodrigo-contreras/profil/spieler/266906,"1,50 mill. €",Argentina,Izquierdo,Desconocido,25/01/2025,31/12/2025,rodrigo_nicolas_contreras_argentina_27_octubre_1995,Rodrigo Nicolás Contreras,Argentina,29.0,69.0,27 octubre 1995,71,57,50,66,36,71,,,,,,,
fabricio_orosman_formiliano_duarte_uruguay_14_enero_1993,Fabricio Orosmán,Formiliano Duarte,Uruguay,1993-01-14,32.0,Uruguay,Defensa,186 cm,79 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/fabricio-orosman-formiliano-duarte/203349/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,1,0,0,0,0,2024,Universidad de Chile,PRD,421.0,8.0,5.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,fabricio_orosman_formiliano_duarte_uruguay_14_enero_1993,Fabricio Orosmán Formiliano Duarte,14/01/1993 (32),Defensa central,Pivote,Universidad de Chile,https://www.transfermarkt.es/fabricio-formiliano/profil/spieler/197231,900 mil €,Uruguay,Derecho,Oscar Bentancourt,11/08/2024,31/12/2025,fabricio_orosman_formiliano_duarte_uruguay_14_enero_1993,Fabricio Orosmán Formiliano Duarte,Uruguay,32.0,68.0,14 enero 1993,64,33,46,61,51,71,,,,,,,
lucas_gabriel_di_yorio_argentina_22_noviembre_1996,Lucas Gabriel,Di Yorio,Argentina,1996-11-22,28.0,Argentina,Delantero,190 cm,70 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/lucas-di-yorio/434397/,2025.0,Athletico Paranaense,PA1,379,6,5,1,3,1,4,3,0,0,,,,,,,,,,,,,,lucas_gabriel_di_yorio_argentina_22_noviembre_1996,Lucas Gabriel Di Yorio,22/11/1996 (28),Delantero centro,Delantero centro,Universidad de Chile,https://www.transfermarkt.es/lucas-di-yorio/profil/spieler/439108,"2,00 mill. €",Argentina,Derecho,Sport Business,04/02/2025,31/12/2025,,,,,,,,,,,,,,,,,,,
nicolas_enrique_ramirez_aguilera_chile_01_mayo_1997,Nicolás Enrique,Ramírez Aguilera,Chile,1997-05-01,27.0,Chile,Defensa,,,,Universidad de Chile,2025,https://el.soccerway.com/players/nicolas-ramirez/352961/,2025.0,Universidad de Chile,PRD,90,1,1,0,0,0,0,0,0,0,2024,Barcelona,PRA,1650.0,20.0,19.0,1.0,2.0,7.0,0.0,2.0,0.0,0.0,nicolas_enrique_ramirez_aguilera_chile_01_mayo_1997,Nicolás Enrique Ramírez Aguilera,01/05/1997 (27),Defensa central,Defensa central,Universidad de Chile,https://www.transfermarkt.es/nicolas-ramirez/profil/spieler/418464,800 mil €,Chile,Derecho,Sin agente,15/01/2025,31/12/2026,nicolas_enrique_ramirez_aguilera_chile_01_mayo_1997,Nicolás Enrique Ramírez Aguilera,Chile,27.0,68.0,01 mayo 1997,65,32,40,56,54,62,,,,,,,
leandro_miguel_fernandez_argentina_12_marzo_1991,Leandro Miguel,Fernández,Argentina,1991-03-12,33.0,Argentina,Delantero,178 cm,70 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/leandro-fernandez/58254/,2025.0,Universidad de Chile,PRD,90,1,1,0,0,0,1,0,0,0,2024,Universidad de Chile,PRD,2308.0,27.0,27.0,0.0,8.0,0.0,11.0,7.0,0.0,1.0,leandro_miguel_fernandez_argentina_12_marzo_1991,Leandro Miguel Fernández,12/03/1991 (33),Extremo izquierdo,Delantero centro,Universidad de Chile,https://www.transfermarkt.es/leandro-fernandez/profil/spieler/131840,700 mil €,Argentina,Derecho,Score Futbol,01/01/2023,31/12/2026,leandro_miguel_fernandez_argentina_12_marzo_1991,Leandro Miguel Fernández,Argentina,33.0,74.0,12 marzo 1991,77,72,70,77,43,69,,,,,,,
marcelo_alfonso_diaz_rojas_chile_30_diciembre_1986,Marcelo Alfonso,Díaz Rojas,Chile,1986-12-30,38.0,Chile,Centrocampista,166 cm,67 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/marcelo-alfonso-diaz/21754/,2025.0,Universidad de Chile,PRD,72,1,1,0,1,0,0,0,0,0,2024,Universidad de Chile,PRD,2411.0,29.0,29.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,marcelo_alfonso_diaz_rojas_chile_30_diciembre_1986,Marcelo Alfonso Díaz Rojas,30/12/1986 (38),Pivote,Mediocentro,Universidad de Chile,https://www.transfermarkt.es/marcelo-diaz/profil/spieler/83895,50 mil €,Chile,Derecho,AIM fútbol,01/01/2024,31/12/2025,marcelo_alfonso_diaz_rojas_chile_30_diciembre_1986,Marcelo Alfonso Díaz Rojas,Chile,38.0,68.0,30 diciembre 1986,57,74,78,69,59,67,,,,,,,
